stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code
16874,"Juozo Tumo-Vaižganto st.",54.689580,25.269220,,,16874,"http://www.visimarsrutai.lt/#/stop/result?stopId=16874",,,,,,
16875,"Neries st.",54.695630,25.428690,,,16875,"http://www.visimarsrutai.lt/#/stop/result?stopId=16875",,,,,,
16876,"Durpių st.",54.595820,25.204940,,,16876,"http://www.visimarsrutai.lt/#/stop/result?stopId=16876",,,,,,
16877,"Vytenio st.",54.671850,25.262330,,,16877,"http://www.visimarsrutai.lt/#/stop/result?stopId=16877",,,,,,
16878,"Santariškių žiedas",54.763590,25.282520,,,16878,"http://www.visimarsrutai.lt/#/stop/result?stopId=16878",,,,,,
16879,"Neries st.",54.695720,25.429390,,,16879,"http://www.visimarsrutai.lt/#/stop/result?stopId=16879",,,,,,
16880,"Muzikų st.",54.758320,25.281030,,,16880,"http://www.visimarsrutai.lt/#/stop/result?stopId=16880",,,,,,
16881,"Justiniškių žiedas",54.709330,25.213340,,,16881,"http://www.visimarsrutai.lt/#/stop/result?stopId=16881",,,,,,
16882,"Sodų st.",54.724090,25.187890,,,16882,"http://www.visimarsrutai.lt/#/stop/result?stopId=16882",,,,,,
16883,"Šiaurinė st.",54.715540,25.215110,,,16883,"http://www.visimarsrutai.lt/#/stop/result?stopId=16883",,,,,,
16884,"Gervėčių st.",54.673900,25.299230,,,16884,"http://www.visimarsrutai.lt/#/stop/result?stopId=16884",,,,,,
16885,"Tuskulėnų rimties parkas",54.697570,25.300320,,,16885,"http://www.visimarsrutai.lt/#/stop/result?stopId=16885",,,,,,
16886,"Šiaurinė st.",54.714970,25.214860,,,16886,"http://www.visimarsrutai.lt/#/stop/result?stopId=16886",,,,,,
16887,"Šeimyniškių st.",54.695660,25.296160,,,16887,"http://www.visimarsrutai.lt/#/stop/result?stopId=16887",,,,,,
16888,"Atžalyno st.",54.718260,25.214130,,,16888,"http://www.visimarsrutai.lt/#/stop/result?stopId=16888",,,,,,
16889,"Mildos st.",54.691620,25.343370,,,16889,"http://www.visimarsrutai.lt/#/stop/result?stopId=16889",,,,,,
16890,"Sodų st.",54.724270,25.187170,,,16890,"http://www.visimarsrutai.lt/#/stop/result?stopId=16890",,,,,,
16891,"Gervėčių st.",54.673650,25.297570,,,16891,"http://www.visimarsrutai.lt/#/stop/result?stopId=16891",,,,,,
16892,"Rinktinės st.",54.694970,25.289550,,,16892,"http://www.visimarsrutai.lt/#/stop/result?stopId=16892",,,,,,
16893,"Vaikų darželis",54.762560,25.335630,,,16893,"http://www.visimarsrutai.lt/#/stop/result?stopId=16893",,,,,,
16894,"Džocharo Dudajevo skv.",54.695830,25.256090,,,16894,"http://www.visimarsrutai.lt/#/stop/result?stopId=16894",,,,,,
16895,Pagiriai,54.577160,25.198290,,,16895,"http://www.visimarsrutai.lt/#/stop/result?stopId=16895",,,,,,
16897,"Tvenkinių st.",54.710650,25.200820,,,16897,"http://www.visimarsrutai.lt/#/stop/result?stopId=16897",,,,,,
16898,"Naugarduko st.",54.670420,25.259850,,,16898,"http://www.visimarsrutai.lt/#/stop/result?stopId=16898",,,,,,
16899,"Tvenkinių st.",54.711040,25.200660,,,16899,"http://www.visimarsrutai.lt/#/stop/result?stopId=16899",,,,,,
16900,"Televizijos bokštas",54.689960,25.212600,,,16900,"http://www.visimarsrutai.lt/#/stop/result?stopId=16900",,,,,,
16901,"Dūmų st.",54.693180,25.400360,,,16901,"http://www.visimarsrutai.lt/#/stop/result?stopId=16901",,,,,,
16904,Bukčiai,54.655010,25.195630,,,16904,"http://www.visimarsrutai.lt/#/stop/result?stopId=16904",,,,,,
16905,"Minties st.",54.703620,25.304160,,,16905,"http://www.visimarsrutai.lt/#/stop/result?stopId=16905",,,,,,
16906,"Alberto Kojelavičiaus st.",54.695160,25.395700,,,16906,"http://www.visimarsrutai.lt/#/stop/result?stopId=16906",,,,,,
16908,"Akacijų st.",54.677920,25.201810,,,16908,"http://www.visimarsrutai.lt/#/stop/result?stopId=16908",,,,,,
16910,"Gėlių st.",54.674240,25.283660,,,16910,"http://www.visimarsrutai.lt/#/stop/result?stopId=16910",,,,,,
16912,"Reformatų st.",54.681490,25.277400,,,16912,"http://www.visimarsrutai.lt/#/stop/result?stopId=16912",,,,,,
16913,"Savanorių prospektas",54.674030,25.248600,,,16913,"http://www.visimarsrutai.lt/#/stop/result?stopId=16913",,,,,,
16914,"Sporto gimnazija",54.731610,25.242410,,,16914,"http://www.visimarsrutai.lt/#/stop/result?stopId=16914",,,,,,
16915,"Savanorių prospektas",54.673400,25.247000,,,16915,"http://www.visimarsrutai.lt/#/stop/result?stopId=16915",,,,,,
16916,"Valkininkų st.",54.643720,25.201840,,,16916,"http://www.visimarsrutai.lt/#/stop/result?stopId=16916",,,,,,
16917,"Vaivorykštės st.",54.685190,25.207660,,,16917,"http://www.visimarsrutai.lt/#/stop/result?stopId=16917",,,,,,
16918,„Lelija“,54.669670,25.267110,,,16918,"http://www.visimarsrutai.lt/#/stop/result?stopId=16918",,,,,,
16919,"Vaikų kaimas",54.708770,25.241180,,,16919,"http://www.visimarsrutai.lt/#/stop/result?stopId=16919",,,,,,
16921,Šaudykla,54.688990,25.330660,,,16921,"http://www.visimarsrutai.lt/#/stop/result?stopId=16921",,,,,,
16922,Pilaitė,54.700950,25.205420,,,16922,"http://www.visimarsrutai.lt/#/stop/result?stopId=16922",,,,,,
16923,"Rinktinės st.",54.694770,25.289540,,,16923,"http://www.visimarsrutai.lt/#/stop/result?stopId=16923",,,,,,
16924,"Senosios Gineitiškės",54.735900,25.189280,,,16924,"http://www.visimarsrutai.lt/#/stop/result?stopId=16924",,,,,,
16926,"Rudens st.",54.685990,25.323580,,,16926,"http://www.visimarsrutai.lt/#/stop/result?stopId=16926",,,,,,
16927,"Lvovo st.",54.694480,25.282760,,,16927,"http://www.visimarsrutai.lt/#/stop/result?stopId=16927",,,,,,
16929,Belmontas,54.683790,25.319400,,,16929,"http://www.visimarsrutai.lt/#/stop/result?stopId=16929",,,,,,
