Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,
Autobusai,31,16214241623,4151,25314450,54667020,35,80,983,-89,59754,KZ,
Autobusai,29,16227931623,4534,25149650,54655140,6,126,983,-104,59646,KWNZ,
Troleibusai,4,17368181636,1635,25317228,54723700,1,246,996,32,59839,,
Autobusai,5,17311181621,4502,25284890,54703808,0,292,981,45,59821,KWNZ,
Troleibusai,2,17330801606,1721,25278638,54690378,16,156,966,81,59814,KWNZ,
Autobusai,53,17375051615,4595,25284240,54714628,8,54,975,183,59831,KZ,
Autobusai,88,17275911629,7066,25280048,54692278,0,204,989,173,59831,KWNZ,
Autobusai,1G,17218121555,4190,25283090,54671410,0,150,955,15,59775,KWNZD,
Troleibusai,6,17367631633,1494,25207398,54644710,28,56,993,26,59734,,
Autobusai,22,17268471631,3102,25200018,54673188,32,222,991,87,59823,KWNZ,
Autobusai,3G,17337091551,4551,25241360,54740208,0,128,951,0,59780,KWNZD,
Troleibusai,16,17367941622,2549,25255448,54672840,3,328,982,14,59838,,
Troleibusai,16,17367921608,2668,25209070,54680590,0,124,968,-60,59282,,
Autobusai,46,17337511634,710,25220818,54733208,40,184,994,100,59833,KZ,
Autobusai,2G,16842521632,4009,25280280,54727378,0,352,992,-42,59761,Z,
Troleibusai,16,17367861559,2750,25249278,54674340,29,50,959,121,59593,KWNZ,
Autobusai,1G,17217991631,3017,25284158,54674998,9,318,991,58,59841,KZ,
Troleibusai,1,16492281605,2758,25277640,54680798,34,164,965,58,59539,KWNZ,
Autobusai,5G,17311111558,4018,25239350,54712188,0,346,958,515,59583,Z,
Troleibusai,7,17274701556,2499,25219560,54725748,37,334,956,12,59644,,
Troleibusai,3,17274201611,2522,25266818,54687718,3,100,971,119,59650,,
Autobusai,24,17337291558,4023,25202190,54644030,0,270,958,0,59787,KZ,
Autobusai,43,16828070930,8002,25213170,54708978,13,108,570,0,59465,KWNZ,
Autobusai,40,17337421609,986,25263010,54699170,0,182,969,83,59840,Z,
Autobusai,7,17375331547,8034,25201180,54674128,0,118,947,114,59833,KWNZ,
Troleibusai,19,17367971545,2751,25233920,54726618,0,6,945,70,59831,KWNZ,
Troleibusai,2,17330821612,1596,25308228,54696378,18,210,972,11,59412,,
Autobusai,3G,17337061631,4589,25235078,54734858,5,236,991,80,59718,KWNZD,
Autobusai,31,16214211610,777,25324328,54666550,0,286,970,-65,59826,KZ,
Troleibusai,7,17274831615,2602,25249710,54697870,17,128,975,22,59774,,
Autobusai,2G,16842581548,4024,25267838,54671630,0,90,948,-3,59762,KZ,
Troleibusai,9,17274911541,2593,25295328,54726758,0,198,941,0,59826,,
Troleibusai,19,17367961540,2693,25340730,54724460,0,194,940,0,59820,KZ,
Troleibusai,4,17368221606,1639,25260300,54680148,0,230,966,-45,59833,,
Troleibusai,19,17368041559,2572,25304638,54704790,12,4,959,-125,59661,,
Troleibusai,4,17368211627,1116,25233688,54659758,11,8,987,108,59822,,
Autobusai,30,16202891610,786,25281620,54695278,6,182,970,497,59641,KZ,
Troleibusai,18,17038761635,2107,25219870,54733558,38,178,995,-4,59776,,
Troleibusai,9,17274891554,2711,25208970,54689418,0,222,954,121,59823,KZ,
Troleibusai,18,17038791554,2646,25222410,54718060,16,16,954,289,59825,,
Autobusai,1G,17218071621,4193,25279938,54690088,15,356,981,135,59810,KWNZD,
Troleibusai,19,17368031626,1612,25315120,54712648,8,192,986,-20,59823,,
Autobusai,3G,17337191612,4585,25272300,54691980,0,102,972,346,59823,KWNZD,
Troleibusai,17,17330911617,1737,25301638,54698798,39,206,977,35,59529,KWNZ,
Troleibusai,10,17367741556,1637,25274110,54691490,32,290,956,95,59819,,
Autobusai,3G,17337211547,4590,25279488,54643398,0,8,947,0,59831,KZ,
Autobusai,5G,17311151625,4600,25229638,54716270,21,106,985,174,59822,KWNZD,
Autobusai,7,17375321626,8040,25221298,54697490,0,26,986,108,59825,KWNZ,
Autobusai,30,16202871627,792,25181718,54710148,0,96,987,-34,59534,KZ,
Autobusai,21,16202811615,782,25255530,54677500,27,56,975,-56,59824,KZ,
Autobusai,74,17220701627,3019,25411508,54688330,18,298,987,-6,59472,KZ,
Troleibusai,2,17330841620,1587,25277460,54684710,21,30,980,34,59414,,
Troleibusai,10,17367811631,1741,25318970,54723430,31,236,991,-65,59835,KZ,
Troleibusai,16,17367851631,2127,25277128,54672910,0,254,991,-299,59645,,
Autobusai,3G,17337221604,4561,25269220,54672178,0,168,964,-46,59826,KWNZD,
Autobusai,115,17375211602,765,25329298,54708350,0,266,962,-2,59699,KZ,
Autobusai,5G,17311051553,4555,25341190,54724808,0,190,953,0,59837,KWNZD,
Troleibusai,9,17274931619,2103,25282250,54694718,0,286,979,-219,59825,,
Autobusai,56,17337571619,4535,25269130,54693758,44,138,979,222,59824,KWNZ,
Troleibusai,9,17274951603,1700,25234110,54700548,35,274,963,49,59827,,
Troleibusai,10,17367761609,1118,25293600,54716838,14,242,969,370,59771,,
Autobusai,5G,17311121612,4011,25293208,54716700,0,238,972,443,59710,Z,
Autobusai,74,17220681634,3015,25282768,54671880,17,330,994,47,59768,KZ,
Autobusai,40,17337461634,4124,25267330,54693170,27,320,994,143,59835,KWNZ,
Troleibusai,6,17367661618,1535,25283770,54704018,0,186,978,31,59833,,
Autobusai,2G,16842681614,4158,25238008,54729828,47,260,974,-67,59409,KWNZD,
Troleibusai,7,17274861604,2611,25221440,54716728,0,26,964,-115,59832,,
Troleibusai,2,17330831605,1631,25316500,54716140,18,14,965,9,59770,,
Autobusai,2G,16842621542,4198,25283128,54671348,8,148,942,0,59829,KWNZD,
Autobusai,36,17337371621,954,25278748,54734600,23,346,981,58,59704,Z,
