Country Code,Name,Location,Latitude,Longitude,System ID,URL,Auto-Discovery URL
CA,Wilson Commons,"Victoria, BC,CA",48.4284207,-123.3656444,36,https://gohopr.com/,https://gbfs.hopr.city/api/gbfs/36/
CH,Donkey Republic Geneva,"Geneva, CH",46.2043907,6.1431577,donkey_ge,https://www.donkey.bike/cities/bike-rental-geneva/,https://stables.donkey.bike/api/public/gbfs/2/donkey_ge/gbfs.json
CH,Donkey Republic Le Locle,"Le Locle, CH",47.0577195,6.7487354,donkey_le_locle,https://www.donkey.bike/cities/bike-rental-le-locle/,https://stables.donkey.bike/api/public/gbfs/2/donkey_le_locle/gbfs.json
CH,Donkey Republic Neuchâtel,"Neuchâtel, CH",46.9899874,6.9292732,donkey_neuchatel,https://www.donkey.bike/cities/bike-rental-neuchatel/,https://stables.donkey.bike/api/public/gbfs/2/donkey_neuchatel/gbfs.json
CH,Donkey Republic Sion,"Sion, CH",46.2331221,7.360626,donkey_sion,https://www.donkey.bike/cities/bike-rental-sion/,https://stables.donkey.bike/api/public/gbfs/2/donkey_sion/gbfs.json
CH,Donkey Republic Thun,"Thun, CH",46.7579868,7.6279881,donkey_thun,https://www.donkey.bike/cities/bike-rental-thun/,https://stables.donkey.bike/api/public/gbfs/2/donkey_thun/gbfs.json
CH,Donkey Republic Yverdon-les-Bains,"Yverdon Les Bains, CH",46.7784736,6.641183,donkey_yverdon-les-bains,https://www.donkey.bike/cities/bike-rental-yverdon-les-bains/,https://stables.donkey.bike/api/public/gbfs/2/donkey_yverdon-les-bains/gbfs.json
CH,nextbike Switzerland,"Switzerland, CH",46.818188,8.227512,nextbike_ch,https://www.nextbike.ch/de/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ch/gbfs.json
CH,sharedmobility.ch,"Switzerland, CH",46.818188,8.227512,sharedmobility.ch,https://www.sharedmobility.ch/info,https://www.sharedmobility.ch/gbfs.json
CL,Bike Itaú - Santiago,"Santiago, CL",-33.4488897,-70.6692655,bike_santiago,https://www.bikesantiago.cl/,https://santiago.publicbikesystem.net/ube/gbfs/v1/
CY,nextbike Cyprus,Cyprus,35.126413,33.429859,nextbike_cy,https://www.nextbike.com.cy/el/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_cy/gbfs.json
CY,Velespeed,"Nicosia, CY",35.1855659,33.3822764,velespeed,https://en.velespeed.net/,https://nicosia.publicbikesystem.net/ube/gbfs/v1/
CZ,nextbike Berounsko,"Berounsko, CZ",49.9672047,14.0862836,nextbike_td,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_td/gbfs.json
CZ,nextbike Brno,"Brno, CZ",49.1950602,16.6068371,nextbike_te,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_te/gbfs.json
CZ,nextbike Frýdek-Místek,"Frýdek-Místek, CZ",49.6819305,18.3673216,nextbike_ts,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ts/gbfs.json
CZ,nextbike Havířov,"Havířov, CZ",49.7803923,18.4306254,nextbike_th,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_th/gbfs.json
